country_name,year,sex,population,Acute drug-induced interstitial lung disorders,Acute pulmonary manifestations due to radiation,Acute upper respiratory infections,Alveolar and parietoalveolar conditions,Asthma,Bronchiectasis,"Bronchopneumonia, unspecified",Chronic and other pulmonary manifestations due to radiation,Chronic drug-induced interstitial lung disorders,Chronic obstructive pulmonary disease (COPD),Chylous effusion,"Disease of upper respiratory tract, unspecified",Diseases of pleura,"Drug-induced interstitial lung disorders, unspecified",Fibrothorax,Hemothorax,"Hypostatic pneumonia, unspecified",Influenza and pneumonia,"Interstitial pulmonary disease, unspecified",Interstitial respiratory diseases,"Lobar pneumonia, unspecified",Lung cancer,Lung cancer (WHO list code),Lung diseases due to external agents,Other abscess of pharynx,Other acute lower respiratory infections,Other diseases of pharynx,Other diseases of the respiratory system,Other diseases of upper respiratory tract,Other interstitial pulmonary diseases with fibrosis,"Other pneumonia, organism unspecified",Other specified diseases of upper respiratory tract,Other specified interstitial pulmonary diseases,Other specified pleural conditions,"Pleural condition, unspecified","Pneumonia, unspecified",Pyothorax with fistula,Pyothorax without fistula,Respiratory conditions due to other specified external agents,Respiratory conditions due to unspecified external agent,Respiratory diseases (WHO list code),Retropharyngeal and parapharyngeal abscess,Suppurative and necrotic conditions of lower respiratory tract,"Upper respiratory tract hypersensitivity reaction, site unspecified"
Romania,2010,3,42862596.0,0.0,0.0,0.037354363453193,0.0,1.4742401689796059,0.0793232402442446,17.124487746845755,0.0,0.0,25.990794576913377,0.023330364777719,0.0090932609388519,0.2888445331080869,0.0,0.0093321459110876,0.023330364777719,0.0606589484220694,0.5980384427484201,0.4246126389544861,3.228922485236312,0.1819768452662083,0.0419946565998942,0.0,0.38368953138332607,0.0095839207877446,0.1115208708930011,0.0,0.9054828181565759,0.0181865218777038,0.4199465659989422,0.2752983043770843,0.0,0.2426357936882777,0.0279964377332628,0.1773107723106645,6.667818253472095,0.0279964377332628,0.0559928754665256,0.0,0.0,0.0,0.0095839207877446,0.7512377458425522,0.0
Romania,2011,1,20785074.0,0.0,0.0,0.0192445790666898,0.0,1.404854271868361,0.1058451848667943,19.6775820956904,0.0,0.0,35.70831645824306,0.0481114476667246,0.0,0.4137584499338321,0.0,0.0,0.0577337372000696,0.0673560267334145,0.5869596615340406,0.3945138708671424,3.87778268193801,0.2501795278669683,0.144334343000174,0.0,0.4137584499338321,0.0,0.17320121160020868,0.0,1.4433434300017405,0.0384891581333796,0.461869897600557,0.2982909755336931,0.0,0.2116903697335886,0.0192445790666898,0.1828235011335538,9.266264820611177,0.0384891581333797,0.1250897639334841,0.0,0.0,0.0,0.0,0.9526066638011487,0.0
Romania,2011,2,21923718.0,0.0,0.0,0.0182450805105228,0.0091225402552614,1.185930233183988,0.0547352415315686,12.4705125289424,0.0,0.0,15.827607342878611,0.0182450805105228,0.0,0.1550831843394445,0.0,0.0091225402552614,0.0,0.0456127012763072,0.3740241504657186,0.4196368517420266,2.891845260917879,0.164205724594706,0.0273676207657843,0.0,0.12771556357366,0.0,0.0456127012763071,0.0,0.6203327373577782,0.0091225402552614,0.2645536674025819,0.1550831843394446,0.0,0.0456127012763072,0.0273676207657843,0.2006958856157518,5.902283545154157,0.0364901610210457,0.0364901610210457,0.0,0.0,0.0,0.0,0.2736762076578433,0.0
Romania,2011,3,42708792.0,0.0,0.0,0.0281105828635235,0.0091225402552614,1.296913588056379,0.0796089011367963,15.977974745808778,0.0,0.0,25.516764363431083,0.0327801357622102,0.0,0.3204878962146071,0.0,0.0091225402552614,0.0577337372000696,0.0561945184495033,0.5062903862399286,0.4074102587588991,3.3761107706880025,0.2060465676481788,0.0842917776742549,0.0,0.2955609420542914,0.0,0.1417823020546686,0.0,1.0450644008673249,0.0382326216749519,0.360581493384313,0.2247780737980133,0.0,0.1264376665113824,0.023414382687293,0.191997938035803,7.539431225308363,0.0374630122996688,0.0796089011367963,0.0,0.0,0.0,0.0,0.6040910733321607,0.0
Romania,2012,1,19540706.0,0.0,0.0,0.0409401789270049,0.0,1.2384404125419008,0.0716453131222587,22.936735243854542,0.0,0.0,37.89013559694312,0.0614102683905074,0.0,0.40940178927004967,0.0,0.0102350447317512,0.0307051341952537,0.0102350447317512,0.2456410735620294,0.6755129522955824,4.380599145189534,0.2865812524890349,0.1330555815127662,0.0,0.3786966550747956,0.0,0.0614102683905074,0.0,1.4636113966404283,0.0,0.4912821471240599,0.4298718787335523,0.0,0.1228205367810149,0.0409401789270049,0.2354060288302787,11.166433802340611,0.0307051341952537,0.0921154025857612,0.0,0.0,0.0,0.0,1.1667950994196423,0.0
Romania,2012,2,20579658.0,0.0,0.0,0.0097183344834982,0.0,1.2828201518217648,0.1069016793184804,15.024545111488248,0.0,0.0,17.940045456537714,0.0485916724174911,0.0,0.2332400276039571,0.0,0.0097183344834982,0.0388733379339928,0.0583100069009893,0.28183170002144803,0.398451713823427,3.343107062323387,0.1457750172524733,0.0097183344834982,0.0,0.1360566827689748,0.0,0.12633834828547671,0.0,0.9426784448993268,0.0,0.2526766965709537,0.2332400276039572,0.0,0.0777466758679857,0.0097183344834982,0.1166200138019786,7.871850931633558,0.0388733379339928,0.0194366689669964,0.0,0.0485916724174911,0.0,0.0,0.2818317000214483,0.0
Romania,2012,3,40120364.0,0.0,0.0,0.0506585134105031,0.0,1.2664549534045635,0.0897299934766294,18.878193627555323,0.0,0.0,27.65677798935224,0.0548349960134957,0.0,0.3390067366859303,0.0,0.009969999275181,0.0348949974631336,0.0348949974631336,0.303621790304318,0.5333949612221863,3.8484197202198867,0.2143549844163926,0.0697899949262673,0.0,0.3057020119622176,0.0,0.1089149976519429,0.0,1.2216167179960233,0.0,0.3688899731816989,0.3290099760809747,0.0,0.0996999927518105,0.0249249981879526,0.1744749873156684,9.476484311059592,0.0348949974631336,0.0548349960134957,0.0,0.0485916724174911,0.0,0.0,0.7128549481754451,0.0
Romania,2017,1,19161162.0,0.0,0.0,0.0,0.0208755606784181,1.0750913749385342,0.1252533640705088,31.2924654569488,0.0,0.010437780339209,41.563241310730525,0.010437780339209,0.0,0.615829040013335,0.0,0.0313133410176272,0.0313133410176272,0.0417511213568362,0.55320235797808,0.7723957451014714,4.383867742467811,0.6367046006917535,0.156566705088136,0.0,0.4383867742467809,0.010437780339209,0.1461289247489269,0.0,3.559283095670293,0.010437780339209,0.6680179417093807,0.4801378956036173,0.0,0.0,0.0730644623744635,0.2713822888194359,11.878194026019925,0.0417511213568362,0.0730644623744635,0.010437780339209,0.0,0.0,0.0,0.7828335254406803,0.0
Romania,2017,2,20024704.0,0.0,0.0,0.0199753264767358,0.0599259794302078,1.3383468739413078,0.0599259794302078,20.824277851997213,0.0,0.0,19.94536348702083,0.0,0.0,0.43945718248819043,0.0,0.0,0.0299629897151039,0.0299629897151039,0.4993831619183977,0.7390870796392296,3.1461139200859103,0.4094941927730867,0.0699136426685757,0.0,0.21972859124409488,0.0,0.0199753264767358,0.0,3.056224950940598,0.0,0.4794078354416624,0.2596792441975671,0.0,0.0099876632383679,0.0099876632383679,0.2297162544824632,7.710476020020071,0.0299629897151039,0.0799013059069437,0.0,0.0199753264767359,0.0,0.0,0.3295928868661428,0.0
Romania,2017,3,39185866.0,0.0,0.0,0.0199753264767358,0.0408310486235011,1.209619815471221,0.0918698594028775,25.94302751915703,0.0,0.010437780339209,30.52587252931002,0.010437780339209,0.0,0.5363675495501197,0.0,0.0313133410176272,0.0306232864676258,0.0357271675455634,0.5856554882552633,0.755374399534771,3.7513525922841673,0.5205958699496395,0.1122853837146281,0.0,0.3728530139360871,0.010437780339209,0.1083315935533593,0.0,3.3022110574256542,0.010437780339209,0.5716346807290159,0.3674794376115102,0.0,0.0099876632383679,0.0408310486235011,0.2500901728189444,9.748412858860895,0.0357271675455634,0.0765582161690646,0.010437780339209,0.0199753264767359,0.0,0.0,0.5512191564172652,0.0
Romania,2018,1,19065498.0,0.0,0.0,0.0104901534698962,0.0209803069397924,0.7448008963626336,0.125881841638755,37.29249558548116,0.0,0.0,41.03748037423413,0.0,0.0,0.5349978269647084,0.0,0.0419606138795849,0.0419606138795849,0.1573523020484437,1.017544886579935,0.92313350535087,4.856941056561964,1.0175448865799364,0.1993129159280287,0.0,0.5874485943141894,0.0,0.10490153469896221,0.0,5.832525329262314,0.0314704604096887,0.7867615102422187,0.4091159853259538,0.0,0.0,0.0419606138795849,0.3776455249162649,14.308569332938484,0.0419606138795849,0.125881841638755,0.0,0.0209803069397924,0.0,0.0,0.9231335053508697,0.0
Romania,2018,2,19902182.0,0.0,0.0,0.0100491493847257,0.0301474481541772,1.0953572829351073,0.080393195077806,23.20348592933177,0.0,0.0,18.631122959281548,0.0,0.0,0.482359170466836,0.0,0.0,0.0502457469236287,0.120589792616709,0.834079398932237,0.6732930087766256,3.547349732808192,0.3215727803112241,0.0602948963083545,0.0,0.562752365544642,0.0,0.0803931950778059,0.0,4.120151247737559,0.0200982987694514,0.5125066186210135,0.2813761827723211,0.0,0.0,0.0301474481541772,0.3416710790806757,9.898412143954868,0.040196597538903,0.0602948963083545,0.0,0.0,0.0,0.0,0.241179585233418,0.0
Romania,2018,3,38967680.0,0.0,0.0,0.0205393028546219,0.0256622924433787,0.9336759097537337,0.1026491697735148,30.09673657759456,0.0,0.0,29.609828730648005,0.0,0.0,0.5277801539630984,0.0,0.0419606138795849,0.0461921263980816,0.138576379194245,0.955106689678615,0.7955310657447403,4.188086126759407,0.662087145039171,0.1283114622168936,0.0,0.6364816659953059,0.0,0.1084573377398246,0.0,4.968670290023209,0.0515687591791401,0.6466897695731437,0.3438747187412748,0.0,0.0,0.0359272094207302,0.359272094207302,12.056144989899323,0.0410596679094059,0.0923842527961633,0.0,0.0209803069397924,0.0,0.0,0.5748353507316831,0.0
Romania,2019,1,18965322.0,0.0,0.0,0.0316366893216997,0.0105455631072332,0.7487349806135638,0.1581834466084994,40.294596632738426,0.0,0.0,37.93239049671816,0.0,0.0,0.8014627961497304,0.0,0.0105455631072332,0.0210911262144665,0.0210911262144665,1.1072841262594948,0.7698261068280308,5.989879844908512,0.7698261068280308,0.1160011941795662,0.0,0.3374580194314647,0.0,0.0527278155361663,0.0,6.886252709023341,0.0,0.8330994854714305,0.1687290097157327,0.0,0.0105455631072332,0.0527278155361664,0.4323680873965652,15.871072476386113,0.0527278155361664,0.1054556310723329,0.0,0.0,0.0,0.0,0.9280095534365298,0.0105455631072332
