country_code,country_name,time,year,month,tp,uvb,cp,lsp,ssrd,i10fg,u10,v10,d2m,t2m,msl,sp,skt,number
MDA,Moldova,2022-07-01,2022,7,0.001016317089912451,2386816.4014785555,0.0006762096630071096,0.00034059329565120413,21129427.663804263,6.4900100392327404,0.7670277094859643,-1.384438112762393,285.34056754760667,296.40947694353,101518.70369230579,99854.6847141793,297.7789923253441,0
MDA,Moldova,2022-08-01,2022,8,0.0016589355896006117,2034990.4357884817,0.001437389959072104,0.00022175421489586616,17944205.10185556,5.989624622081594,0.12759866141560344,-2.2428008150883403,289.0148284474207,296.55437262746943,101269.93904905726,99610.16311883007,296.96389573034566,0
MDA,Moldova,2022-09-01,2022,9,0.0026659007379037556,1308792.470951125,0.0015791647816362447,0.0010867054223176362,11704542.067114078,5.928187919489555,0.8028723907248998,-0.2131237563644909,283.09735414092506,288.94954117135717,101288.3685112455,99602.32202312653,288.90345353858686,0
MDA,Moldova,2022-10-01,2022,10,0.0005146269796681196,1003959.7602921972,0.00029361905060996995,0.00022109620285284167,9501000.973700875,5.712992094432095,1.0923711452369014,-0.5116132201322136,279.11915848007186,284.96431859400917,102235.01624200126,100519.8411475824,284.6687048664018,0
MDA,Moldova,2022-11-01,2022,11,0.0020772006969454054,418723.73624139867,0.0002881157208803894,0.0017890447726298835,3729889.093714513,5.597741807050782,-0.04868435489354584,-0.3958273299031393,276.55987603164226,278.8214769626243,101929.29386011402,100177.39897427807,278.9131188119769,0
MDA,Moldova,2022-12-01,2022,12,0.0009402495503411073,334418.7025676666,0.00027489866474082427,0.0006653262175536042,3109022.268621802,5.667917220792708,-0.10301870751385374,0.6068512957576352,272.86074904328507,274.56325390856665,102055.4012695463,100277.94525403678,274.22350061646245,0
MDA,Moldova,2023-01-01,2023,1,0.0006400263990637278,393836.57637012494,0.00010407881109833318,0.0005359212886085576,3507505.032132131,6.891374039172741,-0.78729671608996,0.6655305769492784,273.4930087022119,275.4950791191695,102007.43771907495,100234.00311407226,275.1242923985193,0
MDA,Moldova,2023-02-01,2023,2,0.0010071821116207668,784746.5098114362,0.0003175678105733154,0.00068959290946606,7407371.935490531,7.355741532836339,1.6290441229121355,-1.203395100733207,270.43771167077574,274.79919736346346,102197.00832647129,100414.850191717,274.02567635186875,0
MDA,Moldova,2023-03-01,2023,3,0.0008345772415330688,1347713.423714968,0.00030669842683662377,0.0005280545182362494,12570392.703187339,6.535434811015321,1.0361982338552378,0.24813082236045714,273.22117147970846,279.71706907458525,101264.1801239016,99530.18163899929,279.27334150111585,0
MDA,Moldova,2023-04-01,2023,4,0.0038662574679492138,1355122.0924472418,0.0011673065829964624,0.0026990712152518254,11864623.518108742,6.969410689260868,0.22184352541821453,-1.5831920561103656,278.1236732012795,282.29756780230304,101263.35215038077,99543.2489852508,282.1043598481695,0
